secid,tradedate,close,open,high,low,value,duration,yield,capitalization
MDIAMR2,2022-09-29,1000.0,1000.0,1000.0,1000.0,,,,
MDIAMR2,2022-10-12,1047.3,1047.3,1047.3,1047.3,,,,
MDIAMR2,2022-10-19,1080.36,1080.36,1080.36,1080.36,,,,
MDIAMR2,2022-10-26,1047.75,1047.75,1047.75,1047.75,,,,
MDIAMR2,2022-11-02,1047.47,1047.47,1047.47,1047.47,,,,
MDIAMR2,2022-11-09,1050.76,1050.76,1050.76,1050.76,,,,
MDIAMR2,2022-11-16,1041.22,1041.22,1041.22,1041.22,,,,
MDIAMR2,2022-11-23,1017.78,1017.78,1017.78,1017.78,,,,
MDIAMR2,2022-11-30,1014.12,1014.12,1014.12,1014.12,,,,
MDIAMR2,2022-12-07,1028.5,1028.5,1028.5,1028.5,,,,
MDIAMR2,2022-12-14,1053.25,1053.25,1053.25,1053.25,,,,
MDIAMR2,2022-12-21,1081.33,1081.33,1081.33,1081.33,,,,
MDIAMR2,2022-12-28,1208.3,1208.3,1208.3,1208.3,,,,
MDIAMR2,2023-01-04,1204.28,1204.28,1204.28,1204.28,,,,
MDIAMR2,2023-01-18,1133.59,1133.59,1133.59,1133.59,,,,
MDIAMR2,2023-01-25,1151.53,1151.53,1151.53,1151.53,,,,
MDIAMR2,2023-02-01,1155.51,1155.51,1155.51,1155.51,,,,
MDIAMR2,2023-02-08,1168.84,1168.84,1168.84,1168.84,,,,
MDIAMR2,2023-02-15,1216.12,1216.12,1216.12,1216.12,,,,
MDIAMR2,2023-02-22,1245.68,1245.68,1245.68,1245.68,,,,
MDIAMR2,2023-03-01,1241.5,1241.5,1241.5,1241.5,,,,
MDIAMR2,2023-03-15,1265.38,1265.38,1265.38,1265.38,,,,
MDIAMR2,2023-03-22,1271.06,1271.06,1271.06,1271.06,,,,
MDIAMR2,2023-03-29,1269.9,1269.9,1269.9,1269.9,,,,
MDIAMR2,2023-04-05,1280.45,1280.45,1280.45,1280.45,,,,
MDIAMR2,2023-04-12,1337.51,1337.51,1337.51,1337.51,,,,
MDIAMR2,2023-04-19,1350.54,1350.54,1350.54,1350.54,,,,
MDIAMR2,2023-04-26,1349.42,1349.42,1349.42,1349.42,,,,
MDIAMR2,2023-05-03,1350.01,1350.01,1350.01,1350.01,,,,
MDIAMR2,2023-05-10,1306.03,1306.03,1306.03,1306.03,,,,
MDIAMR2,2023-05-17,1258.94,1258.94,1258.94,1258.94,,,,
