secid,tradedate,open,close,low,high,capitalization
MEBCTR,2009-04-24,6276.1,6276.1,6276.1,6276.1,0.0
MEBCTR,2009-04-27,6057.99,6057.99,6057.99,6057.99,0.0
MEBCTR,2009-04-28,5899.75,5899.75,5899.75,5899.75,0.0
MEBCTR,2009-04-29,6108.95,6108.95,6108.95,6108.95,0.0
MEBCTR,2009-04-30,6264.7,6264.7,6264.7,6264.7,0.0
MEBCTR,2009-05-04,6431.13,6431.13,6431.13,6431.13,0.0
MEBCTR,2009-05-05,6503.67,6503.67,6503.67,6503.67,0.0
MEBCTR,2009-05-06,6637.71,6637.71,6637.71,6637.71,0.0
MEBCTR,2009-05-07,6955.83,6955.83,6955.83,6955.83,0.0
MEBCTR,2009-05-08,6887.62,6887.62,6887.62,6887.62,0.0
MEBCTR,2009-05-12,7118.69,7118.69,7118.69,7118.69,0.0
MEBCTR,2009-05-13,6742.04,6742.04,6742.04,6742.04,0.0
MEBCTR,2009-05-14,6729.57,6729.57,6729.57,6729.57,0.0
MEBCTR,2009-05-15,6712.42,6712.42,6712.42,6712.42,0.0
MEBCTR,2009-05-18,6750.93,6750.93,6750.93,6750.93,0.0
MEBCTR,2009-05-19,6918.79,6918.79,6918.79,6918.79,0.0
MEBCTR,2009-05-20,7277.46,7277.46,7277.46,7277.46,0.0
MEBCTR,2009-05-21,7036.74,7036.74,7036.74,7036.74,0.0
MEBCTR,2009-05-22,7069.58,7069.58,7069.58,7069.58,0.0
MEBCTR,2009-05-25,7064.21,7064.21,7064.21,7064.21,0.0
MEBCTR,2009-05-26,6856.18,6856.18,6856.18,6856.18,0.0
MEBCTR,2009-05-27,7135.94,7135.94,7135.94,7135.94,0.0
MEBCTR,2009-05-28,7339.98,7339.98,7339.98,7339.98,0.0
MEBCTR,2009-05-29,7497.44,7497.44,7497.44,7497.44,0.0
MEBCTR,2009-06-01,8150.68,8150.68,8150.68,8150.68,0.0
MEBCTR,2009-06-02,8221.98,8221.98,8221.98,8221.98,0.0
MEBCTR,2009-06-03,7804.87,7804.87,7804.87,7804.87,0.0
MEBCTR,2009-06-04,7702.97,7702.97,7702.97,7702.97,0.0
MEBCTR,2009-06-05,7990.23,7990.23,7990.23,7990.23,0.0
MEBCTR,2009-06-08,7618.02,7618.02,7618.02,7618.02,0.0
MEBCTR,2009-06-09,7663.12,7663.12,7663.12,7663.12,0.0
MEBCTR,2009-06-10,7711.86,7711.86,7711.86,7711.86,0.0
MEBCTR,2009-06-11,7809.13,7809.13,7809.13,7809.13,0.0
MEBCTR,2009-06-15,7415.42,7415.42,7415.42,7415.42,0.0
MEBCTR,2009-06-16,7458.93,7458.93,7458.93,7458.93,0.0
MEBCTR,2009-06-17,7156.98,7156.98,7156.98,7156.98,0.0
MEBCTR,2009-06-18,6821.6,6821.6,6821.6,6821.6,0.0
MEBCTR,2009-06-19,6917.99,6917.99,6917.99,6917.99,0.0
MEBCTR,2009-06-22,6524.08,6524.08,6524.08,6524.08,0.0
MEBCTR,2009-06-23,6324.3,6324.3,6324.3,6324.3,0.0
MEBCTR,2009-06-24,6619.31,6619.31,6619.31,6619.31,0.0
MEBCTR,2009-06-25,6515.54,6515.54,6515.54,6515.54,0.0
MEBCTR,2009-06-26,6535.86,6535.86,6535.86,6535.86,0.0
MEBCTR,2009-06-29,6586.89,6586.89,6586.89,6586.89,0.0
MEBCTR,2009-06-30,6718.52,6718.52,6718.52,6718.52,0.0
MEBCTR,2009-07-01,6677.81,6677.81,6677.81,6677.81,0.0
MEBCTR,2009-07-02,6521.32,6521.32,6521.32,6521.32,0.0
MEBCTR,2009-07-03,6551.03,6551.03,6551.03,6551.03,0.0
MEBCTR,2009-07-06,6348.55,6348.55,6348.55,6348.55,0.0
MEBCTR,2009-07-07,6286.77,6286.77,6286.77,6286.77,0.0
MEBCTR,2009-07-08,6085.56,6085.56,6085.56,6085.56,0.0
MEBCTR,2009-07-09,6052.62,6052.62,6052.62,6052.62,0.0
MEBCTR,2009-07-10,5928.04,5928.04,5928.04,5928.04,0.0
MEBCTR,2009-07-13,6016.4,6016.4,6016.4,6016.4,0.0
MEBCTR,2009-07-14,6148.36,6148.36,6148.36,6148.36,0.0
MEBCTR,2009-07-15,6302.74,6302.74,6302.74,6302.74,0.0
MEBCTR,2009-07-16,6393.07,6393.07,6393.07,6393.07,0.0
MEBCTR,2009-07-17,6527.36,6527.36,6527.36,6527.36,0.0
MEBCTR,2009-07-20,6762.52,6762.52,6762.52,6762.52,0.0
MEBCTR,2009-07-21,6891.2,6891.2,6891.2,6891.2,0.0
MEBCTR,2009-07-22,6692.88,6692.88,6692.88,6692.88,0.0
MEBCTR,2009-07-23,6805.27,6805.27,6805.27,6805.27,0.0
MEBCTR,2009-07-24,7055.26,7055.26,7055.26,7055.26,0.0
MEBCTR,2009-07-27,7122.89,7122.89,7122.89,7122.89,0.0
MEBCTR,2009-07-28,6930.51,6930.51,6930.51,6930.51,0.0
MEBCTR,2009-07-29,6747.87,6747.87,6747.87,6747.87,0.0
MEBCTR,2009-07-30,7048.2,7048.2,7048.2,7048.2,0.0
MEBCTR,2009-07-31,7229.42,7229.42,7229.42,7229.42,0.0
MEBCTR,2009-08-03,7525.76,7525.76,7525.76,7525.76,0.0
MEBCTR,2009-08-04,7518.54,7518.54,7518.54,7518.54,0.0
