secid,tradedate,close,open,high,low,value,duration,yield,capitalization
MEITTR,2020-12-25,5000.0,5000.0,5000.0,5000.0,,,,
MEITTR,2020-12-28,4960.24,4960.24,4960.24,4960.24,,,,
MEITTR,2020-12-29,4975.35,4975.35,4975.35,4975.35,,,,
MEITTR,2020-12-30,5086.88,5086.88,5086.88,5086.88,,,,
MEITTR,2021-01-04,5136.11,5136.11,5136.11,5136.11,,,,
MEITTR,2021-01-05,5182.83,5182.83,5182.83,5182.83,,,,
MEITTR,2021-01-06,5149.72,5149.72,5149.72,5149.72,,,,
MEITTR,2021-01-08,5176.62,5176.62,5176.62,5176.62,,,,
MEITTR,2021-01-11,5150.37,5150.37,5150.37,5150.37,,,,
MEITTR,2021-01-12,5070.59,5070.59,5070.59,5070.59,,,,
MEITTR,2021-01-13,5071.41,5071.41,5071.41,5071.41,,,,
MEITTR,2021-01-14,4992.35,4992.35,4992.35,4992.35,,,,
MEITTR,2021-01-15,4971.36,4971.36,4971.36,4971.36,,,,
MEITTR,2021-01-18,5022.74,5022.74,5022.74,5022.74,,,,
MEITTR,2021-01-19,4970.92,4970.92,4970.92,4970.92,,,,
MEITTR,2021-01-20,5049.14,5049.14,5049.14,5049.14,,,,
MEITTR,2021-01-21,5057.3,5057.3,5057.3,5057.3,,,,
MEITTR,2021-01-22,5010.95,5010.95,5010.95,5010.95,,,,
MEITTR,2021-01-25,5001.7,5001.7,5001.7,5001.7,,,,
MEITTR,2021-01-26,4948.61,4948.61,4948.61,4948.61,,,,
MEITTR,2021-01-27,4869.65,4869.65,4869.65,4869.65,,,,
MEITTR,2021-01-28,4879.02,4879.02,4879.02,4879.02,,,,
MEITTR,2021-01-29,4832.47,4832.47,4832.47,4832.47,,,,
MEITTR,2021-02-01,4827.03,4827.03,4827.03,4827.03,,,,
MEITTR,2021-02-02,4971.51,4971.51,4971.51,4971.51,,,,
MEITTR,2021-02-03,4982.5,4982.5,4982.5,4982.5,,,,
MEITTR,2021-02-04,5027.43,5027.43,5027.43,5027.43,,,,
MEITTR,2021-02-05,5041.25,5041.25,5041.25,5041.25,,,,
MEITTR,2021-02-08,5160.8,5160.8,5160.8,5160.8,,,,
MEITTR,2021-02-09,5213.15,5213.15,5213.15,5213.15,,,,
MEITTR,2021-02-10,5340.67,5340.67,5340.67,5340.67,,,,
MEITTR,2021-02-11,5398.99,5398.99,5398.99,5398.99,,,,
MEITTR,2021-02-12,5429.45,5429.45,5429.45,5429.45,,,,
MEITTR,2021-02-15,5429.95,5429.95,5429.95,5429.95,,,,
MEITTR,2021-02-16,5405.13,5405.13,5405.13,5405.13,,,,
MEITTR,2021-02-17,5248.29,5248.29,5248.29,5248.29,,,,
MEITTR,2021-02-18,5086.05,5086.05,5086.05,5086.05,,,,
MEITTR,2021-02-19,5144.85,5144.85,5144.85,5144.85,,,,
MEITTR,2021-02-20,5137.95,5137.95,5137.95,5137.95,,,,
MEITTR,2021-02-22,5050.89,5050.89,5050.89,5050.89,,,,
MEITTR,2021-02-24,5010.36,5010.36,5010.36,5010.36,,,,
MEITTR,2021-02-25,5036.26,5036.26,5036.26,5036.26,,,,
MEITTR,2021-02-26,4920.39,4920.39,4920.39,4920.39,,,,
