secid,tradedate,open,close,low,high,capitalization
MESMTR,2013-12-30,,896.03,,,
MESMTR,2014-01-06,,878.92,,,
MESMTR,2014-01-08,,883.75,,,
MESMTR,2014-01-09,,887.31,,,
MESMTR,2014-01-10,,889.88,,,
MESMTR,2014-01-13,,895.54,,,
MESMTR,2014-01-14,,892.95,,,
MESMTR,2014-01-15,,892.57,,,
MESMTR,2014-01-16,,886.42,,,
MESMTR,2014-01-17,,891.55,,,
MESMTR,2014-01-20,,891.53,,,
MESMTR,2014-01-21,,891.47,,,
MESMTR,2014-01-22,,884.98,,,
MESMTR,2014-01-23,,889.44,,,
MESMTR,2014-01-24,,885.94,,,
MESMTR,2014-01-27,,871.11,,,
MESMTR,2014-01-28,,870.14,,,
MESMTR,2014-01-29,,863.95,,,
MESMTR,2014-01-30,,857.54,,,
MESMTR,2014-01-31,,857.39,,,
MESMTR,2014-02-03,,847.98,,,
MESMTR,2014-02-04,,845.46,,,
MESMTR,2014-02-05,,860.27,,,
MESMTR,2014-02-06,,869.92,,,
MESMTR,2014-02-07,,879.47,,,
MESMTR,2014-02-10,,880.0,,,
MESMTR,2014-02-11,,884.25,,,
MESMTR,2014-02-12,,888.44,,,
MESMTR,2014-02-13,,881.78,,,
MESMTR,2014-02-14,,889.29,,,
MESMTR,2014-02-17,,895.04,,,
MESMTR,2014-02-18,,890.39,,,
MESMTR,2014-02-19,,880.89,,,
MESMTR,2014-02-20,,871.37,,,
MESMTR,2014-02-21,,876.24,,,
MESMTR,2014-02-24,,878.53,,,
MESMTR,2014-02-25,,873.78,,,
MESMTR,2014-02-26,,871.91,,,
MESMTR,2014-02-27,,855.49,,,
MESMTR,2014-02-28,,853.12,,,
MESMTR,2014-03-03,,744.89,,,
MESMTR,2014-03-04,,776.42,,,
MESMTR,2014-03-05,,779.85,,,
MESMTR,2014-03-06,,776.26,,,
MESMTR,2014-03-07,,769.19,,,
MESMTR,2014-03-11,,758.88,,,
MESMTR,2014-03-12,,732.43,,,
MESMTR,2014-03-13,,705.69,,,
MESMTR,2014-03-14,,680.31,,,
MESMTR,2014-03-17,,704.71,,,
MESMTR,2014-03-18,,740.14,,,
MESMTR,2014-03-19,,743.76,,,
MESMTR,2014-03-20,,750.87,,,
MESMTR,2014-03-21,,743.86,,,
MESMTR,2014-03-24,,748.68,,,
MESMTR,2014-03-25,,755.93,,,
MESMTR,2014-03-26,,766.08,,,
MESMTR,2014-03-27,,764.54,,,
MESMTR,2014-03-28,,769.33,,,
MESMTR,2014-03-31,,776.9,,,
MESMTR,2014-04-01,,786.01,,,
MESMTR,2014-04-02,,792.5,,,
MESMTR,2014-04-03,,789.11,,,
MESMTR,2014-04-04,,796.03,,,
MESMTR,2014-04-07,,772.7,,,
MESMTR,2014-04-08,,778.16,,,
MESMTR,2014-04-09,,792.08,,,
MESMTR,2014-04-10,,820.11,,,
MESMTR,2014-04-11,,814.3,,,
MESMTR,2014-04-14,,798.31,,,
MESMTR,2014-04-15,,773.45,,,
MESMTR,2014-04-16,,784.61,,,
MESMTR,2014-04-17,,790.59,,,
MESMTR,2014-04-18,,806.77,,,
MESMTR,2014-04-21,,804.8,,,
MESMTR,2014-04-22,,792.66,,,
MESMTR,2014-04-23,,790.57,,,
MESMTR,2014-04-24,,771.96,,,
MESMTR,2014-04-25,,760.52,,,
MESMTR,2014-04-28,,769.28,,,
MESMTR,2014-04-29,,768.05,,,
MESMTR,2014-04-30,,767.35,,,
MESMTR,2014-05-02,,768.01,,,
MESMTR,2014-05-05,,762.98,,,
MESMTR,2014-05-06,,772.32,,,
MESMTR,2014-05-07,,792.56,,,
MESMTR,2014-05-08,,793.34,,,
MESMTR,2014-05-12,,794.08,,,
MESMTR,2014-05-13,,800.22,,,
MESMTR,2014-05-14,,801.29,,,
MESMTR,2014-05-15,,800.82,,,
MESMTR,2014-05-16,,802.61,,,
MESMTR,2014-05-19,,811.62,,,
MESMTR,2014-05-20,,824.14,,,
MESMTR,2014-05-21,,833.91,,,
MESMTR,2014-05-22,,834.64,,,
MESMTR,2014-05-23,,842.33,,,
MESMTR,2014-05-26,,848.43,,,
MESMTR,2014-05-27,,832.93,,,
MESMTR,2014-05-28,,843.5,,,
MESMTR,2014-05-29,,858.18,,,
MESMTR,2014-05-30,,860.11,,,
MESMTR,2014-06-02,,879.26,,,
MESMTR,2014-06-03,,880.37,,,
MESMTR,2014-06-04,,880.94,,,
MESMTR,2014-06-05,,878.89,,,
MESMTR,2014-06-06,,884.45,,,
MESMTR,2014-06-09,,881.89,,,
MESMTR,2014-06-10,,881.68,,,
MESMTR,2014-06-11,,884.88,,,
MESMTR,2014-06-16,,890.0,,,
MESMTR,2014-06-17,,885.7,,,
MESMTR,2014-06-18,,892.78,,,
MESMTR,2014-06-19,,897.66,,,
MESMTR,2014-06-20,,885.07,,,
MESMTR,2014-06-23,,885.03,,,
MESMTR,2014-06-24,,901.07,,,
MESMTR,2014-06-25,,886.75,,,
MESMTR,2014-06-26,,885.84,,,
MESMTR,2014-06-27,,885.3,,,
MESMTR,2014-06-30,,888.37,,,
MESMTR,2014-07-01,,888.1,,,
MESMTR,2014-07-02,,904.21,,,
MESMTR,2014-07-03,,908.07,,,
MESMTR,2014-07-04,,907.87,,,
MESMTR,2014-07-07,,925.62,,,
MESMTR,2014-07-08,,928.59,,,
MESMTR,2014-07-09,,926.62,,,
MESMTR,2014-07-10,,908.84,,,
MESMTR,2014-07-11,,912.91,,,
MESMTR,2014-07-14,,910.88,,,
MESMTR,2014-07-15,,909.05,,,
MESMTR,2014-07-16,,917.34,,,
MESMTR,2014-07-17,,897.88,,,
MESMTR,2014-07-18,,886.61,,,
MESMTR,2014-07-21,,863.81,,,
MESMTR,2014-07-22,,876.88,,,
MESMTR,2014-07-23,,876.81,,,
MESMTR,2014-07-24,,874.28,,,
MESMTR,2014-07-25,,865.69,,,
MESMTR,2014-07-28,,843.86,,,
MESMTR,2014-07-29,,854.02,,,
MESMTR,2014-07-30,,867.76,,,
MESMTR,2014-07-31,,868.95,,,
MESMTR,2014-08-01,,864.88,,,
MESMTR,2014-08-04,,870.08,,,
MESMTR,2014-08-05,,861.46,,,
MESMTR,2014-08-06,,852.33,,,
MESMTR,2014-08-07,,853.89,,,
MESMTR,2014-08-08,,867.04,,,
MESMTR,2014-08-11,,879.37,,,
MESMTR,2014-08-12,,888.06,,,
MESMTR,2014-08-13,,901.76,,,
MESMTR,2014-08-14,,903.39,,,
MESMTR,2014-08-15,,907.65,,,
MESMTR,2014-08-18,,909.61,,,
MESMTR,2014-08-19,,922.12,,,
MESMTR,2014-08-20,,925.63,,,
MESMTR,2014-08-21,,928.71,,,
MESMTR,2014-08-22,,920.56,,,
MESMTR,2014-08-25,,926.02,,,
MESMTR,2014-08-26,,917.09,,,
MESMTR,2014-08-27,,916.15,,,
MESMTR,2014-08-28,,903.72,,,
MESMTR,2014-08-29,,896.25,,,
MESMTR,2014-09-01,,885.2,,,
MESMTR,2014-09-02,,886.79,,,
MESMTR,2014-09-03,,911.42,,,
MESMTR,2014-09-04,,907.0,,,
MESMTR,2014-09-05,,910.21,,,
MESMTR,2014-09-08,,910.67,,,
MESMTR,2014-09-09,,910.88,,,
MESMTR,2014-09-10,,910.48,,,
MESMTR,2014-09-11,,904.7,,,
MESMTR,2014-09-12,,910.7,,,
MESMTR,2014-09-15,,910.36,,,
MESMTR,2014-09-16,,923.47,,,
MESMTR,2014-09-17,,915.03,,,
MESMTR,2014-09-18,,922.16,,,
MESMTR,2014-09-19,,923.69,,,
MESMTR,2014-09-22,,917.5,,,
MESMTR,2014-09-23,,923.09,,,
MESMTR,2014-09-24,,928.15,,,
MESMTR,2014-09-25,,925.87,,,
MESMTR,2014-09-26,,921.39,,,
MESMTR,2014-09-29,,909.85,,,
MESMTR,2014-09-30,,910.63,,,
MESMTR,2014-10-01,,904.82,,,
MESMTR,2014-10-02,,890.44,,,
MESMTR,2014-10-03,,894.63,,,
MESMTR,2014-10-06,,906.86,,,
MESMTR,2014-10-07,,904.43,,,
MESMTR,2014-10-08,,892.38,,,
MESMTR,2014-10-09,,894.21,,,
MESMTR,2014-10-10,,886.48,,,
MESMTR,2014-10-13,,898.93,,,
MESMTR,2014-10-14,,896.0,,,
MESMTR,2014-10-15,,887.22,,,
MESMTR,2014-10-16,,881.21,,,
MESMTR,2014-10-17,,895.41,,,
MESMTR,2014-10-20,,891.34,,,
MESMTR,2014-10-21,,892.99,,,
MESMTR,2014-10-22,,881.48,,,
MESMTR,2014-10-23,,883.2,,,
MESMTR,2014-10-24,,890.48,,,
MESMTR,2014-10-27,,900.38,,,
MESMTR,2014-10-28,,907.68,,,
MESMTR,2014-10-29,,918.08,,,
MESMTR,2014-10-30,,924.29,,,
MESMTR,2014-10-31,,931.96,,,
MESMTR,2014-11-03,,936.72,,,
MESMTR,2014-11-05,,950.94,,,
MESMTR,2014-11-06,,957.49,,,
MESMTR,2014-11-07,,955.19,,,
MESMTR,2014-11-10,,964.7,,,
MESMTR,2014-11-11,,967.55,,,
MESMTR,2014-11-12,,968.3,,,
MESMTR,2014-11-13,,959.88,,,
MESMTR,2014-11-14,,964.42,,,
MESMTR,2014-11-17,,968.59,,,
MESMTR,2014-11-18,,976.28,,,
MESMTR,2014-11-19,,979.6,,,
MESMTR,2014-11-20,,979.43,,,
MESMTR,2014-11-21,,988.93,,,
MESMTR,2014-11-24,,985.39,,,
MESMTR,2014-11-25,,990.43,,,
MESMTR,2014-11-26,,990.94,,,
MESMTR,2014-11-27,,983.35,,,
MESMTR,2014-11-28,,988.34,,,
MESMTR,2014-12-01,,1008.85,,,
MESMTR,2014-12-02,,1000.64,,,
MESMTR,2014-12-03,,1013.77,,,
MESMTR,2014-12-04,,1009.59,,,
MESMTR,2014-12-05,,996.45,,,
MESMTR,2014-12-08,,970.84,,,
MESMTR,2014-12-09,,962.51,,,
MESMTR,2014-12-10,,978.84,,,
MESMTR,2014-12-11,,966.24,,,
MESMTR,2014-12-12,,967.38,,,
MESMTR,2014-12-15,,952.6,,,
MESMTR,2014-12-16,,931.36,,,
MESMTR,2014-12-17,,934.28,,,
MESMTR,2014-12-18,,976.98,,,
MESMTR,2014-12-19,,979.86,,,
MESMTR,2014-12-22,,963.1,,,
MESMTR,2014-12-23,,947.59,,,
MESMTR,2014-12-24,,946.44,,,
MESMTR,2014-12-25,,941.99,,,
MESMTR,2014-12-26,,945.15,,,
MESMTR,2014-12-29,,955.54,,,
MESMTR,2014-12-30,,951.35,,,
MESMTR,2015-01-05,,973.87,,,
MESMTR,2015-01-06,,997.98,,,
MESMTR,2015-01-08,,997.51,,,
MESMTR,2015-01-09,,994.22,,,
MESMTR,2015-01-12,,990.62,,,
MESMTR,2015-01-13,,1000.84,,,
MESMTR,2015-01-14,,1017.89,,,
MESMTR,2015-01-15,,1021.73,,,
MESMTR,2015-01-16,,1026.23,,,
MESMTR,2015-01-19,,1028.86,,,
MESMTR,2015-01-20,,1032.86,,,
MESMTR,2015-01-21,,1054.01,,,
MESMTR,2015-01-22,,1081.88,,,
MESMTR,2015-01-23,,1086.12,,,
MESMTR,2015-01-26,,1067.68,,,
MESMTR,2015-01-27,,1075.19,,,
MESMTR,2015-01-28,,1073.23,,,
MESMTR,2015-01-29,,1072.96,,,
MESMTR,2015-01-30,,1092.55,,,
MESMTR,2015-02-02,,1082.57,,,
MESMTR,2015-02-03,,1097.4,,,
MESMTR,2015-02-04,,1103.94,,,
MESMTR,2015-02-05,,1104.96,,,
MESMTR,2015-02-06,,1129.74,,,
MESMTR,2015-02-09,,1145.28,,,
MESMTR,2015-02-10,,1144.31,,,
MESMTR,2015-02-11,,1156.99,,,
MESMTR,2015-02-12,,1173.21,,,
MESMTR,2015-02-13,,1195.39,,,
MESMTR,2015-02-16,,1196.8,,,
MESMTR,2015-02-17,,1189.86,,,
MESMTR,2015-02-18,,1206.25,,,
MESMTR,2015-02-19,,1182.56,,,
MESMTR,2015-02-20,,1193.39,,,
MESMTR,2015-02-24,,1174.59,,,
MESMTR,2015-02-25,,1169.69,,,
MESMTR,2015-02-26,,1186.47,,,
MESMTR,2015-02-27,,1187.71,,,
MESMTR,2015-03-02,,1194.5,,,
MESMTR,2015-03-03,,1210.79,,,
MESMTR,2015-03-04,,1196.58,,,
MESMTR,2015-03-05,,1200.5,,,
MESMTR,2015-03-06,,1192.19,,,
MESMTR,2015-03-10,,1156.11,,,
MESMTR,2015-03-11,,1159.52,,,
MESMTR,2015-03-12,,1168.1,,,
MESMTR,2015-03-13,,1151.9,,,
MESMTR,2015-03-16,,1141.22,,,
MESMTR,2015-03-17,,1148.33,,,
MESMTR,2015-03-18,,1150.14,,,
MESMTR,2015-03-19,,1140.14,,,
MESMTR,2015-03-20,,1139.22,,,
MESMTR,2015-03-23,,1123.12,,,
MESMTR,2015-03-24,,1139.94,,,
MESMTR,2015-03-25,,1135.86,,,
MESMTR,2015-03-26,,1123.2,,,
MESMTR,2015-03-27,,1119.42,,,
MESMTR,2015-03-30,,1140.21,,,
MESMTR,2015-03-31,,1152.83,,,
MESMTR,2015-04-01,,1167.04,,,
MESMTR,2015-04-02,,1172.97,,,
MESMTR,2015-04-03,,1173.76,,,
MESMTR,2015-04-06,,1188.6,,,
MESMTR,2015-04-07,,1186.5,,,
MESMTR,2015-04-08,,1176.79,,,
MESMTR,2015-04-09,,1152.06,,,
MESMTR,2015-04-10,,1152.2,,,
MESMTR,2015-04-13,,1169.09,,,
MESMTR,2015-04-14,,1160.16,,,
MESMTR,2015-04-15,,1171.09,,,
MESMTR,2015-04-16,,1180.65,,,
MESMTR,2015-04-17,,1171.27,,,
MESMTR,2015-04-20,,1180.73,,,
MESMTR,2015-04-21,,1200.12,,,
MESMTR,2015-04-22,,1195.1,,,
MESMTR,2015-04-23,,1178.15,,,
MESMTR,2015-04-24,,1186.15,,,
MESMTR,2015-04-27,,1189.35,,,
MESMTR,2015-04-28,,1184.54,,,
MESMTR,2015-04-29,,1180.82,,,
MESMTR,2015-04-30,,1198.41,,,
MESMTR,2015-05-05,,1219.58,,,
MESMTR,2015-05-06,,1210.46,,,
MESMTR,2015-05-07,,1193.55,,,
MESMTR,2015-05-08,,1204.45,,,
MESMTR,2015-05-12,,1215.91,,,
MESMTR,2015-05-13,,1204.65,,,
MESMTR,2015-05-14,,1201.49,,,
MESMTR,2015-05-15,,1202.27,,,
MESMTR,2015-05-18,,1200.99,,,
MESMTR,2015-05-19,,1192.64,,,
MESMTR,2015-05-20,,1186.15,,,
MESMTR,2015-05-21,,1194.45,,,
MESMTR,2015-05-22,,1197.85,,,
MESMTR,2015-05-25,,1197.37,,,
MESMTR,2015-05-26,,1190.25,,,
MESMTR,2015-05-27,,1192.18,,,
MESMTR,2015-05-28,,1191.47,,,
MESMTR,2015-05-29,,1179.94,,,
MESMTR,2015-06-01,,1184.26,,,
MESMTR,2015-06-02,,1192.31,,,
MESMTR,2015-06-03,,1171.26,,,
MESMTR,2015-06-04,,1181.4,,,
MESMTR,2015-06-05,,1190.2,,,
MESMTR,2015-06-08,,1192.27,,,
MESMTR,2015-06-09,,1192.98,,,
MESMTR,2015-06-10,,1186.78,,,
MESMTR,2015-06-11,,1176.98,,,
MESMTR,2015-06-15,,1185.0,,,
MESMTR,2015-06-16,,1183.15,,,
MESMTR,2015-06-17,,1188.25,,,
MESMTR,2015-06-18,,1188.58,,,
MESMTR,2015-06-19,,1182.62,,,
MESMTR,2015-06-22,,1181.91,,,
MESMTR,2015-06-23,,1176.02,,,
MESMTR,2015-06-24,,1171.52,,,
MESMTR,2015-06-25,,1164.0,,,
MESMTR,2015-06-26,,1176.45,,,
MESMTR,2015-06-29,,1168.21,,,
MESMTR,2015-06-30,,1172.15,,,
MESMTR,2015-07-01,,1170.05,,,
MESMTR,2015-07-02,,1168.01,,,
MESMTR,2015-07-03,,1168.94,,,
MESMTR,2015-07-06,,1163.42,,,
MESMTR,2015-07-07,,1152.55,,,
MESMTR,2015-07-08,,1146.28,,,
MESMTR,2015-07-09,,1160.91,,,
MESMTR,2015-07-10,,1160.25,,,
MESMTR,2015-07-13,,1175.6,,,
MESMTR,2015-07-14,,1187.22,,,
MESMTR,2015-07-15,,1199.23,,,
MESMTR,2015-07-16,,1206.62,,,
MESMTR,2015-07-17,,1206.85,,,
MESMTR,2015-07-20,,1191.44,,,
MESMTR,2015-07-21,,1193.7,,,
MESMTR,2015-07-22,,1187.79,,,
MESMTR,2015-07-23,,1183.65,,,
MESMTR,2015-07-24,,1175.47,,,
MESMTR,2015-07-27,,1165.99,,,
MESMTR,2015-07-28,,1182.63,,,
MESMTR,2015-07-29,,1180.0,,,
MESMTR,2015-07-30,,1192.26,,,
MESMTR,2015-07-31,,1205.41,,,
MESMTR,2015-08-03,,1203.87,,,
MESMTR,2015-08-04,,1202.45,,,
MESMTR,2015-08-05,,1212.42,,,
MESMTR,2015-08-06,,1210.13,,,
MESMTR,2015-08-07,,1221.8,,,
MESMTR,2015-08-10,,1229.64,,,
MESMTR,2015-08-11,,1235.12,,,
MESMTR,2015-08-12,,1229.34,,,
MESMTR,2015-08-13,,1234.23,,,
MESMTR,2015-08-14,,1236.85,,,
MESMTR,2015-08-17,,1232.93,,,
MESMTR,2015-08-18,,1229.08,,,
MESMTR,2015-08-19,,1220.58,,,
MESMTR,2015-08-20,,1229.91,,,
MESMTR,2015-08-21,,1214.02,,,
MESMTR,2015-08-24,,1183.29,,,
MESMTR,2015-08-25,,1193.58,,,
MESMTR,2015-08-26,,1189.36,,,
MESMTR,2015-08-27,,1205.64,,,
MESMTR,2015-08-28,,1220.39,,,
MESMTR,2015-08-31,,1236.39,,,
MESMTR,2015-09-01,,1225.96,,,
MESMTR,2015-09-02,,1219.86,,,
MESMTR,2015-09-03,,1223.34,,,
MESMTR,2015-09-04,,1218.12,,,
MESMTR,2015-09-07,,1216.95,,,
MESMTR,2015-09-08,,1222.87,,,
MESMTR,2015-09-09,,1233.93,,,
MESMTR,2015-09-10,,1245.83,,,
MESMTR,2015-09-11,,1250.15,,,
MESMTR,2015-09-14,,1266.32,,,
MESMTR,2015-09-15,,1258.11,,,
MESMTR,2015-09-16,,1261.52,,,
MESMTR,2015-09-17,,1262.72,,,
MESMTR,2015-09-18,,1255.53,,,
MESMTR,2015-09-21,,1247.18,,,
MESMTR,2015-09-22,,1226.62,,,
MESMTR,2015-09-23,,1213.86,,,
MESMTR,2015-09-24,,1205.43,,,
MESMTR,2015-09-25,,1214.98,,,
MESMTR,2015-09-28,,1193.62,,,
MESMTR,2015-09-29,,1202.67,,,
MESMTR,2015-09-30,,1218.93,,,
MESMTR,2015-10-01,,1215.87,,,
MESMTR,2015-10-02,,1206.82,,,
MESMTR,2015-10-05,,1229.23,,,
MESMTR,2015-10-06,,1246.36,,,
MESMTR,2015-10-07,,1243.78,,,
MESMTR,2015-10-08,,1242.59,,,
MESMTR,2015-10-09,,1250.97,,,
MESMTR,2015-10-12,,1246.72,,,
MESMTR,2015-10-13,,1260.24,,,
MESMTR,2015-10-14,,1264.25,,,
MESMTR,2015-10-15,,1267.76,,,
MESMTR,2015-10-16,,1266.76,,,
MESMTR,2015-10-19,,1273.73,,,
MESMTR,2015-10-20,,1277.16,,,
MESMTR,2015-10-21,,1280.32,,,
MESMTR,2015-10-22,,1282.23,,,
MESMTR,2015-10-23,,1292.21,,,
MESMTR,2015-10-26,,1298.81,,,
MESMTR,2015-10-27,,1311.71,,,
MESMTR,2015-10-28,,1315.33,,,
MESMTR,2015-10-29,,1309.34,,,
MESMTR,2015-10-30,,1316.35,,,
MESMTR,2015-11-02,,1324.84,,,
MESMTR,2015-11-03,,1326.93,,,
MESMTR,2015-11-05,,1318.27,,,
MESMTR,2015-11-06,,1317.31,,,
MESMTR,2015-11-09,,1316.47,,,
MESMTR,2015-11-10,,1312.34,,,
MESMTR,2015-11-11,,1307.83,,,
MESMTR,2015-11-12,,1301.69,,,
MESMTR,2015-11-13,,1281.18,,,
MESMTR,2015-11-16,,1291.46,,,
MESMTR,2015-11-17,,1318.17,,,
MESMTR,2015-11-18,,1332.05,,,
MESMTR,2015-11-19,,1328.64,,,
MESMTR,2015-11-20,,1331.95,,,
MESMTR,2015-11-23,,1355.84,,,
MESMTR,2015-11-24,,1331.42,,,
MESMTR,2015-11-25,,1350.22,,,
MESMTR,2015-11-26,,1351.47,,,
MESMTR,2015-11-27,,1340.44,,,
MESMTR,2015-11-30,,1337.95,,,
MESMTR,2015-12-01,,1341.27,,,
MESMTR,2015-12-02,,1344.12,,,
MESMTR,2015-12-03,,1349.42,,,
MESMTR,2015-12-04,,1337.9,,,
MESMTR,2015-12-07,,1336.32,,,
MESMTR,2015-12-08,,1319.33,,,
MESMTR,2015-12-09,,1318.52,,,
MESMTR,2015-12-10,,1320.69,,,
MESMTR,2015-12-11,,1320.83,,,
MESMTR,2015-12-14,,1312.26,,,
MESMTR,2015-12-15,,1338.86,,,
MESMTR,2015-12-16,,1352.48,,,
MESMTR,2015-12-17,,1382.3,,,
MESMTR,2015-12-18,,1361.62,,,
MESMTR,2015-12-21,,1366.9,,,
MESMTR,2015-12-22,,1357.43,,,
MESMTR,2015-12-23,,1367.23,,,
MESMTR,2015-12-24,,1367.46,,,
MESMTR,2015-12-25,,1356.33,,,
MESMTR,2015-12-28,,1355.8,,,
MESMTR,2015-12-29,,1371.58,,,
MESMTR,2015-12-30,,1378.95,,,
MESMTR,2016-01-04,,1370.17,,,
MESMTR,2016-01-05,,1395.02,,,
MESMTR,2016-01-06,,1398.94,,,
MESMTR,2016-01-11,,1357.16,,,
MESMTR,2016-01-12,,1352.41,,,
MESMTR,2016-01-13,,1349.66,,,
MESMTR,2016-01-14,,1339.69,,,
MESMTR,2016-01-15,,1287.14,,,
MESMTR,2016-01-18,,1292.97,,,
MESMTR,2016-01-19,,1304.56,,,
MESMTR,2016-01-20,,1295.73,,,
MESMTR,2016-01-21,,1324.38,,,
MESMTR,2016-01-22,,1331.06,,,
MESMTR,2016-01-25,,1322.07,,,
MESMTR,2016-01-26,,1314.47,,,
MESMTR,2016-01-27,,1335.03,,,
MESMTR,2016-01-28,,1324.23,,,
MESMTR,2016-01-29,,1321.32,,,
MESMTR,2016-02-01,,1336.15,,,
MESMTR,2016-02-02,,1335.23,,,
MESMTR,2016-02-03,,1346.87,,,
MESMTR,2016-02-04,,1353.26,,,
MESMTR,2016-02-05,,1345.77,,,
MESMTR,2016-02-08,,1328.94,,,
MESMTR,2016-02-09,,1324.38,,,
MESMTR,2016-02-10,,1325.82,,,
MESMTR,2016-02-11,,1318.97,,,
MESMTR,2016-02-12,,1316.16,,,
MESMTR,2016-02-15,,1308.15,,,
MESMTR,2016-02-16,,1320.42,,,
MESMTR,2016-02-17,,1314.65,,,
MESMTR,2016-02-18,,1338.88,,,
MESMTR,2016-02-19,,1334.93,,,
MESMTR,2016-02-20,,1340.67,,,
MESMTR,2016-02-22,,1343.82,,,
MESMTR,2016-02-24,,1335.21,,,
MESMTR,2016-02-25,,1341.26,,,
MESMTR,2016-02-26,,1345.08,,,
MESMTR,2016-02-29,,1358.95,,,
MESMTR,2016-03-01,,1359.61,,,
MESMTR,2016-03-02,,1358.64,,,
MESMTR,2016-03-03,,1366.56,,,
MESMTR,2016-03-04,,1377.61,,,
MESMTR,2016-03-07,,1395.85,,,
MESMTR,2016-03-09,,1390.17,,,
MESMTR,2016-03-10,,1388.69,,,
MESMTR,2016-03-11,,1392.98,,,
MESMTR,2016-03-14,,1403.77,,,
MESMTR,2016-03-15,,1405.4,,,
MESMTR,2016-03-16,,1428.51,,,
MESMTR,2016-03-17,,1431.77,,,
MESMTR,2016-03-18,,1431.65,,,
MESMTR,2016-03-21,,1432.89,,,
MESMTR,2016-03-22,,1432.82,,,
MESMTR,2016-03-23,,1440.15,,,
MESMTR,2016-03-24,,1439.36,,,
MESMTR,2016-03-25,,1444.72,,,
MESMTR,2016-03-28,,1441.48,,,
MESMTR,2016-03-29,,1429.59,,,
MESMTR,2016-03-30,,1437.01,,,
MESMTR,2016-03-31,,1435.59,,,
MESMTR,2016-04-01,,1434.61,,,
MESMTR,2016-04-04,,1443.48,,,
MESMTR,2016-04-05,,1441.9,,,
MESMTR,2016-04-06,,1451.59,,,
MESMTR,2016-04-07,,1449.13,,,
MESMTR,2016-04-08,,1446.03,,,
MESMTR,2016-04-11,,1462.43,,,
MESMTR,2016-04-12,,1463.56,,,
MESMTR,2016-04-13,,1480.28,,,
MESMTR,2016-04-14,,1480.82,,,
MESMTR,2016-04-15,,1469.84,,,
MESMTR,2016-04-18,,1477.63,,,
MESMTR,2016-04-19,,1489.4,,,
MESMTR,2016-04-20,,1496.85,,,
MESMTR,2016-04-21,,1495.21,,,
MESMTR,2016-04-22,,1506.92,,,
MESMTR,2016-04-25,,1499.79,,,
MESMTR,2016-04-26,,1487.98,,,
MESMTR,2016-04-27,,1475.84,,,
MESMTR,2016-04-28,,1480.46,,,
