secid,tradedate,open,close,low,high,capitalization
RUCNTR,2013-12-30,,431.02,,,
RUCNTR,2014-01-06,,420.93,,,
RUCNTR,2014-01-08,,423.68,,,
RUCNTR,2014-01-09,,421.05,,,
RUCNTR,2014-01-10,,416.66,,,
RUCNTR,2014-01-13,,413.82,,,
RUCNTR,2014-01-14,,414.79,,,
RUCNTR,2014-01-15,,415.65,,,
RUCNTR,2014-01-16,,415.6,,,
RUCNTR,2014-01-17,,410.64,,,
RUCNTR,2014-01-20,,405.59,,,
RUCNTR,2014-01-21,,398.53,,,
RUCNTR,2014-01-22,,394.49,,,
RUCNTR,2014-01-23,,390.31,,,
RUCNTR,2014-01-24,,385.98,,,
RUCNTR,2014-01-27,,382.37,,,
RUCNTR,2014-01-28,,367.54,,,
RUCNTR,2014-01-29,,362.65,,,
RUCNTR,2014-01-30,,364.94,,,
RUCNTR,2014-01-31,,362.93,,,
RUCNTR,2014-02-03,,360.4,,,
RUCNTR,2014-02-04,,359.01,,,
RUCNTR,2014-02-05,,368.1,,,
RUCNTR,2014-02-06,,368.95,,,
RUCNTR,2014-02-07,,371.04,,,
RUCNTR,2014-02-10,,373.02,,,
RUCNTR,2014-02-11,,371.85,,,
RUCNTR,2014-02-12,,369.0,,,
RUCNTR,2014-02-13,,363.1,,,
RUCNTR,2014-02-14,,364.95,,,
RUCNTR,2014-02-17,,370.67,,,
RUCNTR,2014-02-18,,367.37,,,
RUCNTR,2014-02-19,,363.16,,,
RUCNTR,2014-02-20,,355.8,,,
RUCNTR,2014-02-21,,359.06,,,
RUCNTR,2014-02-24,,360.95,,,
RUCNTR,2014-02-25,,357.3,,,
RUCNTR,2014-02-26,,354.92,,,
RUCNTR,2014-02-27,,346.54,,,
RUCNTR,2014-02-28,,348.38,,,
RUCNTR,2014-03-03,,300.92,,,
RUCNTR,2014-03-04,,318.53,,,
RUCNTR,2014-03-05,,323.22,,,
RUCNTR,2014-03-06,,317.18,,,
RUCNTR,2014-03-07,,317.16,,,
RUCNTR,2014-03-11,,311.7,,,
